Data properties:
 
Recording date: 1/10/2013
Recording time : 10:54:16:281 (corresponds to time 0)
Study: Bo.Dec.2012
Subject: p9
Recording: p9.graph
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

8369	LMouseButton	1	274	720	
11510	LMouseButton	1	185	722	
14799	LMouseButton	1	151	691	
17072	LMouseButton	1	855	870	
19645	LMouseButton	1	877	955	
20821	LMouseButton	1	1047	838	
26543	LMouseButton	1	510	212	
27430	LMouseButton	1	662	216	
28218	LMouseButton	1	608	275	
29763	LMouseButton	1	500	239	
33112	LMouseButton	1	143	681	
34378	LMouseButton	1	136	677	
35634	LMouseButton	1	196	634	
37957	LMouseButton	1	198	630	
39960	LMouseButton	1	258	658	
41745	LMouseButton	1	125	666	
42891	LMouseButton	1	261	658	
44466	LMouseButton	1	127	664	
45104	LMouseButton	1	127	664	
46759	LMouseButton	1	248	654	
49281	LMouseButton	1	249	654	
51176	LMouseButton	1	278	721	
52123	LMouseButton	1	276	721	
56110	LMouseButton	1	233	687	
58064	LMouseButton	1	243	598	
59859	LMouseButton	1	243	598	
60856	LMouseButton	1	232	687	
62082	LMouseButton	1	179	677	
64953	LMouseButton	1	239	756	
67106	LMouseButton	1	239	754	
68053	LMouseButton	1	177	680	
69458	LMouseButton	1	127	721	
72030	LMouseButton	1	147	628	
72469	LMouseButton	1	154	628	
74931	LMouseButton	1	129	719	
76107	LMouseButton	1	288	789	
77692	LMouseButton	1	288	789	
80194	LMouseButton	1	203	769	
84680	LMouseButton	1	199	775	
88727	LMouseButton	1	253	698	
90123	LMouseButton	1	316	832	
92776	LMouseButton	1	352	741	
95217	LMouseButton	1	355	642	
96094	LMouseButton	1	350	645	
98277	LMouseButton	1	291	573	
100011	LMouseButton	1	198	552	
102513	LMouseButton	1	314	834	
104328	LMouseButton	1	124	728	
105913	LMouseButton	1	145	628	
108066	LMouseButton	1	218	581	
113359	LMouseButton	1	817	725	
115901	LMouseButton	1	786	642	
120447	LMouseButton	1	817	723	
122570	LMouseButton	1	949	696	
126049	LMouseButton	1	949	696	
128321	LMouseButton	1	808	579	
131073	LMouseButton	1	810	579	
132050	LMouseButton	1	949	598	
133764	LMouseButton	1	949	598	
134662	LMouseButton	1	955	691	
141291	LMouseButton	1	661	235	
142327	LMouseButton	1	573	295	
143244	LMouseButton	1	513	250	
148847	LMouseButton	1	205	772	
150222	LMouseButton	1	195	771	
156872	LMouseButton	1	122	779	
157589	LMouseButton	1	115	783	
160859	LMouseButton	1	175	860	
166720	LMouseButton	1	176	746	
169909	LMouseButton	1	164	851	
173478	LMouseButton	1	108	782	
177974	LMouseButton	1	282	788	
178482	LMouseButton	1	289	788	
182709	LMouseButton	1	276	617	
183566	LMouseButton	1	348	619	
186268	LMouseButton	1	283	617	
187534	LMouseButton	1	406	900	
189578	LMouseButton	1	412	641	
195748	LMouseButton	1	411	641	
