Data properties:
 
Recording date: 1/10/2013
Recording time : 10:19:58:046 (corresponds to time 0)
Study: Bo.Dec.2012
Subject: p9
Recording: p9.tree
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Time	Event	Event key	Data 1	Data 2	Description

14451	LMouseButton	1	39	580	
15587	LMouseButton	1	39	580	
16584	LMouseButton	1	36	598	
17501	LMouseButton	1	36	598	
18119	LMouseButton	1	36	613	
20501	LMouseButton	1	40	612	
27209	LMouseButton	1	674	532	
29980	LMouseButton	1	693	595	
37446	LMouseButton	1	738	631	
42949	LMouseButton	1	486	215	
43985	LMouseButton	1	611	219	
44942	LMouseButton	1	523	275	
47584	LMouseButton	1	468	235	
50046	LMouseButton	1	39	609	
57592	LMouseButton	1	695	594	
60961	LMouseButton	1	695	547	
62168	LMouseButton	1	697	547	
65029	LMouseButton	1	609	234	
66016	LMouseButton	1	563	260	
69524	LMouseButton	1	444	196	
76492	LMouseButton	1	41	614	
77529	LMouseButton	1	41	581	
83032	LMouseButton	1	672	662	
114001	LMouseButton	1	611	194	
117400	LMouseButton	1	554	219	
121188	LMouseButton	1	560	219	
126849	LMouseButton	1	44	580	
128583	LMouseButton	1	36	546	
129560	LMouseButton	1	36	546	
133936	LMouseButton	1	693	547	
135122	LMouseButton	1	697	546	
136039	LMouseButton	1	673	530	
139089	LMouseButton	1	675	548	
141142	LMouseButton	1	488	202	
142139	LMouseButton	1	615	198	
142907	LMouseButton	1	542	252	
143764	LMouseButton	1	478	214	
147611	LMouseButton	1	40	614	
149864	LMouseButton	1	40	611	
150880	LMouseButton	1	40	594	
151658	LMouseButton	1	40	594	
152226	LMouseButton	1	40	584	
154290	LMouseButton	1	40	583	
155117	LMouseButton	1	40	550	
157151	LMouseButton	1	40	550	
160639	LMouseButton	1	677	548	
161855	LMouseButton	1	677	548	
163211	LMouseButton	1	512	216	
164547	LMouseButton	1	608	212	
165204	LMouseButton	1	579	232	
166839	LMouseButton	1	458	229	
170109	LMouseButton	1	36	608	
175980	LMouseButton	1	60	708	
176817	LMouseButton	1	60	707	
178452	LMouseButton	1	678	595	
185838	LMouseButton	1	612	230	
187772	LMouseButton	1	587	255	
190613	LMouseButton	1	610	227	
191391	LMouseButton	1	572	282	
193016	LMouseButton	1	540	254	
197202	LMouseButton	1	676	595	
197840	LMouseButton	1	676	595	
208965	LMouseButton	1	673	591	
213171	LMouseButton	1	42	613	
221474	LMouseButton	1	39	582	
224056	LMouseButton	1	61	626	
226429	LMouseButton	1	58	628	
227116	LMouseButton	1	58	613	
228601	LMouseButton	1	61	613	
229259	LMouseButton	1	59	631	
231074	LMouseButton	1	60	630	
232160	LMouseButton	1	612	242	
233067	LMouseButton	1	530	293	
235559	LMouseButton	1	467	210	
240912	LMouseButton	1	57	631	
241779	LMouseButton	1	59	631	
242387	LMouseButton	1	58	614	
243902	LMouseButton	1	58	613	
246454	LMouseButton	1	677	551	
247620	LMouseButton	1	699	576	
252644	LMouseButton	1	60	612	
255755	LMouseButton	1	579	198	
258885	LMouseButton	1	612	196	
259573	LMouseButton	1	572	219	
261487	LMouseButton	1	557	214	
264527	LMouseButton	1	694	561	
272910	LMouseButton	1	58	596	
290026	LMouseButton	1	62	759	
297802	LMouseButton	1	611	211	
298619	LMouseButton	1	553	272	
302417	LMouseButton	1	41	579	
303992	LMouseButton	1	64	627	
308023	LMouseButton	1	674	546	
309246	LMouseButton	1	677	535	
314599	LMouseButton	1	695	631	
315427	LMouseButton	1	695	631	
316444	LMouseButton	1	689	596	
316963	LMouseButton	1	692	596	
342362	LMouseButton	1	698	757	
344246	LMouseButton	1	697	757	
348194	LMouseButton	1	698	595	
349928	LMouseButton	1	693	548	
351314	LMouseButton	1	697	548	
352401	LMouseButton	1	691	581	
353108	LMouseButton	1	691	581	
355890	LMouseButton	1	676	705	
357156	LMouseButton	1	676	705	
358033	LMouseButton	1	670	692	
358481	LMouseButton	1	676	691	
359787	LMouseButton	1	676	691	
362588	LMouseButton	1	40	549	
370084	LMouseButton	1	535	242	
373224	LMouseButton	1	606	247	
374122	LMouseButton	1	570	241	
375477	LMouseButton	1	588	248	
376105	LMouseButton	1	512	248	
376584	LMouseButton	1	461	234	
377162	LMouseButton	1	460	248	
379525	LMouseButton	1	456	229	
391765	LMouseButton	1	616	232	
392453	LMouseButton	1	582	253	
393031	LMouseButton	1	510	247	
394676	LMouseButton	1	626	249	
395773	LMouseButton	1	732	250	
398195	LMouseButton	1	706	243	
399801	LMouseButton	1	663	256	
400558	LMouseButton	1	684	250	
404356	LMouseButton	1	731	247	
405133	LMouseButton	1	675	307	
406101	LMouseButton	1	500	269	
412789	LMouseButton	1	41	658	
414773	LMouseButton	1	62	754	
418622	LMouseButton	1	678	533	
419788	LMouseButton	1	672	598	
422330	LMouseButton	1	694	627	
438588	LMouseButton	1	607	262	
439415	LMouseButton	1	559	323	
442366	LMouseButton	1	511	234	
453969	LMouseButton	1	718	695	
454646	LMouseButton	1	718	695	
