Data properties:
 
Recording date: 1/10/2013
Recording time : 10:19:58:046 (corresponds to time 0)
Study: Bo.Dec.2012
Subject: p9
Recording: p9.tree
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 100
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	308	100	687	507
2	1644	160	494	115
3	2860	160	76	555
4	7585	100	149	210
5	8821	100	211	153
6	8981	120	52	457
7	11273	239	30	576
8	14224	160	13	567
9	15022	100	86	584
10	16058	120	56	565
11	16497	100	88	550
12	16696	100	111	555
13	19308	120	75	704
14	20564	140	45	534
15	22518	179	10	473
16	23415	100	120	218
17	87933	100	732	623
18	88073	179	789	623
19	90266	100	41	583
20	99377	100	735	351
21	102447	100	200	75
22	794876	100	51	197
23	891533	120	214	142
24	894584	100	208	139
25	894723	140	206	136
26	897255	100	263	102
27	897415	140	249	119
28	897853	100	240	103
29	898172	140	250	120
30	898631	100	250	147
31	901542	140	244	126
32	904114	100	256	111
33	904293	139	281	133
